gene_symbol	GSM9336110	GSM9336111	GSM9336112	GSM9336113	GSM9336114	GSM9336115
A1BG-AS1	22	19	34	52	28	12
A2M	365	466	506	1226	1113	1170
A2M-AS1	6	0	0	0	0	0
A3GALT2	0	0	0	1	0	4
A4GALT	212	293	268	324	324	306
AAAS	2655	3972	4153	3823	3294	3410
AACS	980	1446	1392	1070	845	1015
AADAC	33	36	19	25	57	41
AADACP1	0	0	0	3	4	4
AADAT	66	60	76	75	70	82
AAGAB	1427	1706	1750	1721	1429	1494
AAK1	2923	3930	4335	3166	2987	3095
AAMDC	388	553	550	838	604	715
AAMP	2221	3263	3314	2496	2162	2273
AAR2	428	678	692	738	522	544
AARS1	8946	11843	13435	18742	15827	15685
AARS2	937	1267	1283	1268	977	1047
AARSD1	10	3	6	2	2	0
AASDH	260	387	389	268	268	341
AASDHPPT	320	478	386	469	377	531
AASS	893	1237	1380	776	849	716
AATBC	4	0	8	2	2	0
AATF	1490	2193	2406	1584	1251	1582
AATK	16	10	22	18	16	10
ABAT	77	114	96	190	102	122
ABCA1	806	1354	1283	170	175	152
ABCA10	23	19	55	29	10	22
ABCA12	2	18	14	6	0	2
ABCA13	14	14	8	4	0	0
ABCA15P	0	0	1	2	0	0
ABCA2	1774	2130	2450	3630	3286	3294
ABCA3	5673	7696	8237	22156	18191	18124
ABCA4	395	414	321	186	142	119
ABCA5	318	393	628	394	303	376
ABCA6	509	579	686	2330	2152	2414
ABCA7	194	180	212	534	454	540
ABCA8	72	112	140	244	218	239
ABCA9	133	133	153	484	405	391
ABCA9-AS1	6	0	4	0	0	0
ABCB1	78	52	92	178	162	122
ABCB10	596	761	853	1143	847	903
ABCB11	16	10	20	0	0	2
ABCB4	4	0	8	18	12	6
ABCB6	21	70	38	38	38	39
ABCB7	892	1389	1323	1037	957	930
ABCB8	287	430	413	542	417	464
ABCB9	210	271	319	316	215	209
ABCC1	5413	6778	7323	9313	7398	8444
ABCC10	573	746	799	816	571	618
ABCC11	2	0	0	0	4	2
ABCC12	0	0	0	0	4	0
ABCC2	116	161	146	81	38	56
ABCC3	12	22	6	14	30	14
ABCC4	1060	1492	1835	1508	1380	1484
ABCC5	978	978	1182	762	637	651
ABCC6	0	0	0	8	1	0
ABCC6P1	0	0	1	0	0	0
ABCC9	0	0	4	0	0	0
ABCD1	499	573	636	662	489	714
ABCD3	1407	2048	2354	2355	1901	2237
ABCD4	959	1381	1606	1053	992	935
ABCE1	2390	3062	3459	2731	2178	2510
ABCF1	3483	4711	5107	3334	2848	3427
ABCF2	38	70	50	41	34	29
ABCF2P1	4	2	0	0	0	0
ABCF3	1571	2236	2161	1628	1094	1356
ABCG1	1026	1270	1207	2747	2388	2827
ABCG2	1571	1799	2183	56	60	82
ABCG4	8	12	16	8	16	26
ABHD10	337	368	550	294	210	243
ABHD11	92	131	195	306	214	248
ABHD12	1560	2097	2179	2783	2113	2518
ABHD13	156	258	238	160	130	126
ABHD14A	12	27	22	17	11	10
ABHD14B	81	117	114	84	63	59
ABHD15	63	116	87	166	118	78
ABHD16A	13	16	25	12	21	17
ABHD17A	1433	1984	2067	2476	2036	2113
ABHD17B	292	340	513	220	226	254
ABHD17C	198	214	242	214	168	146
