gene_symbol	safety_gate	critical_tissue_flag	note
A1BG	UNKNOWN	UNKNOWN	not in local safety table
A1BG-AS1	UNKNOWN	UNKNOWN	not in local safety table
A1CF	UNKNOWN	UNKNOWN	not in local safety table
A2M	UNKNOWN	UNKNOWN	not in local safety table
A2M-AS1	UNKNOWN	UNKNOWN	not in local safety table
A2ML1	UNKNOWN	UNKNOWN	not in local safety table
A3GALT2	UNKNOWN	UNKNOWN	not in local safety table
A4GALT	UNKNOWN	UNKNOWN	not in local safety table
A4GNT	UNKNOWN	UNKNOWN	not in local safety table
AAAS	UNKNOWN	UNKNOWN	not in local safety table
AACS	UNKNOWN	UNKNOWN	not in local safety table
AADAC	UNKNOWN	UNKNOWN	not in local safety table
AADACL2	UNKNOWN	UNKNOWN	not in local safety table
AADACL3	UNKNOWN	UNKNOWN	not in local safety table
AADACL4	UNKNOWN	UNKNOWN	not in local safety table
AADACP1	UNKNOWN	UNKNOWN	not in local safety table
AADAT	UNKNOWN	UNKNOWN	not in local safety table
AAED1	UNKNOWN	UNKNOWN	not in local safety table
AAGAB	UNKNOWN	UNKNOWN	not in local safety table
AAK1	UNKNOWN	UNKNOWN	not in local safety table
AAMDC	UNKNOWN	UNKNOWN	not in local safety table
AAMP	UNKNOWN	UNKNOWN	not in local safety table
AANAT	UNKNOWN	UNKNOWN	not in local safety table
AAR2	UNKNOWN	UNKNOWN	not in local safety table
AARD	UNKNOWN	UNKNOWN	not in local safety table
AARS	UNKNOWN	UNKNOWN	not in local safety table
AARS1	UNKNOWN	UNKNOWN	not in local safety table
AARS2	UNKNOWN	UNKNOWN	not in local safety table
AARSD1	UNKNOWN	UNKNOWN	not in local safety table
AASDH	UNKNOWN	UNKNOWN	not in local safety table
AASDHPPT	UNKNOWN	UNKNOWN	not in local safety table
AASS	UNKNOWN	UNKNOWN	not in local safety table
AATBC	UNKNOWN	UNKNOWN	not in local safety table
AATF	UNKNOWN	UNKNOWN	not in local safety table
AATK	UNKNOWN	UNKNOWN	not in local safety table
AATK-AS1	UNKNOWN	UNKNOWN	not in local safety table
ABAT	UNKNOWN	UNKNOWN	not in local safety table
ABCA1	UNKNOWN	UNKNOWN	not in local safety table
ABCA10	UNKNOWN	UNKNOWN	not in local safety table
ABCA11P	UNKNOWN	UNKNOWN	not in local safety table
ABCA12	UNKNOWN	UNKNOWN	not in local safety table
ABCA13	UNKNOWN	UNKNOWN	not in local safety table
ABCA15P	UNKNOWN	UNKNOWN	not in local safety table
ABCA2	UNKNOWN	UNKNOWN	not in local safety table
ABCA3	UNKNOWN	UNKNOWN	not in local safety table
ABCA4	UNKNOWN	UNKNOWN	not in local safety table
ABCA5	UNKNOWN	UNKNOWN	not in local safety table
ABCA6	UNKNOWN	UNKNOWN	not in local safety table
ABCA7	UNKNOWN	UNKNOWN	not in local safety table
ABCA8	UNKNOWN	UNKNOWN	not in local safety table
ABCA9	UNKNOWN	UNKNOWN	not in local safety table
ABCA9-AS1	UNKNOWN	UNKNOWN	not in local safety table
ABCB1	UNKNOWN	UNKNOWN	not in local safety table
ABCB10	UNKNOWN	UNKNOWN	not in local safety table
ABCB11	UNKNOWN	UNKNOWN	not in local safety table
ABCB4	UNKNOWN	UNKNOWN	not in local safety table
ABCB5	UNKNOWN	UNKNOWN	not in local safety table
ABCB6	UNKNOWN	UNKNOWN	not in local safety table
ABCB7	UNKNOWN	UNKNOWN	not in local safety table
ABCB8	UNKNOWN	UNKNOWN	not in local safety table
ABCB9	UNKNOWN	UNKNOWN	not in local safety table
ABCC1	UNKNOWN	UNKNOWN	not in local safety table
ABCC10	UNKNOWN	UNKNOWN	not in local safety table
ABCC11	UNKNOWN	UNKNOWN	not in local safety table
ABCC12	UNKNOWN	UNKNOWN	not in local safety table
ABCC2	UNKNOWN	UNKNOWN	not in local safety table
ABCC3	UNKNOWN	UNKNOWN	not in local safety table
ABCC4	UNKNOWN	UNKNOWN	not in local safety table
ABCC5	UNKNOWN	UNKNOWN	not in local safety table
ABCC6	UNKNOWN	UNKNOWN	not in local safety table
ABCC6P1	UNKNOWN	UNKNOWN	not in local safety table
ABCC8	UNKNOWN	UNKNOWN	not in local safety table
ABCC9	UNKNOWN	UNKNOWN	not in local safety table
ABCD1	UNKNOWN	UNKNOWN	not in local safety table
ABCD2	UNKNOWN	UNKNOWN	not in local safety table
ABCD3	UNKNOWN	UNKNOWN	not in local safety table
ABCD4	UNKNOWN	UNKNOWN	not in local safety table
ABCE1	UNKNOWN	UNKNOWN	not in local safety table
ABCF1	UNKNOWN	UNKNOWN	not in local safety table
ABCF2	UNKNOWN	UNKNOWN	not in local safety table
ABCF2P1	UNKNOWN	UNKNOWN	not in local safety table
ABCF3	UNKNOWN	UNKNOWN	not in local safety table
ABCG1	UNKNOWN	UNKNOWN	not in local safety table
ABCG2	UNKNOWN	UNKNOWN	not in local safety table
ABCG4	UNKNOWN	UNKNOWN	not in local safety table
ABCG5	UNKNOWN	UNKNOWN	not in local safety table
ABCG8	UNKNOWN	UNKNOWN	not in local safety table
ABHD1	UNKNOWN	UNKNOWN	not in local safety table
ABHD10	UNKNOWN	UNKNOWN	not in local safety table
ABHD11	UNKNOWN	UNKNOWN	not in local safety table
