gene_symbol	missing_fields	route	safety_gate	recommended_action
A1BG	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
A1BG-AS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
A1CF	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
A2M	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
A2M-AS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
A2ML1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
A3GALT2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
A4GALT	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
A4GNT	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AAAS	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AACS	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AADAC	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AADACL2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AADACL3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AADACL4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AADACP1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AADAT	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AAED1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AAGAB	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AAK1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AAMDC	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AAMP	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AANAT	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AAR2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AARD	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AARS	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AARS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AARS2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AARSD1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AASDH	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AASDHPPT	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AASS	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AATBC	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AATF	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AATK	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
AATK-AS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABAT	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCA1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCA10	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCA11P	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCA12	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCA13	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCA15P	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCA2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCA3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCA4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCA5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCA6	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCA7	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCA8	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCA9	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCA9-AS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCB1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCB10	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCB11	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCB4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCB5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCB6	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCB7	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCB8	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCB9	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCC1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCC10	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCC11	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCC12	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCC2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCC3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCC4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCC5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCC6	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCC6P1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCC8	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCC9	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCD1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCD2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCD3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCD4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCE1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCF1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCF2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCF2P1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCF3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCG1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCG2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCG4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCG5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABCG8	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD10	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD11	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD12	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD12B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD13	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD14A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD14B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD15	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD16A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD16B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD17A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD17B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD17C	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD18	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD6	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABHD8	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABI1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABI2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABI3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
