gene_symbol	logFC	p_value	adj_p_value	direction
RNF213	0.538573125	3.9394803615899e-11	6.82510168438786e-07	up
NRP1	0.588657187499999	7.1718611720568e-11	6.82510168438786e-07	up
RGL1	0.6179271875	1.14017326456644e-10	7.07962244103956e-07	up
NUMB	0.298180624999999	1.48786264720003e-10	7.07962244103956e-07	up
SIGLEC1	0.7475878125	3.09835849711403e-10	9.74159095533142e-07	up
XPO6	0.31525	3.13035766710798e-10	9.74159095533142e-07	up
RAB23	-0.930944374999999	4.40078486926448e-10	9.74159095533142e-07	down
TRIM25	0.4023015625	4.65480576034798e-10	9.74159095533142e-07	up
MKNK1	0.4722675	5.68270192398172e-10	9.74159095533142e-07	up
FABP4	2.4544609375	6.08948288291668e-10	9.74159095533142e-07	up
ASAP1	0.504464375	6.29504068510214e-10	9.74159095533142e-07	up
CMIP	0.827653437499999	6.6041589080783e-10	9.74159095533142e-07	up
SLC7A8	0.6675325	6.65374257443958e-10	9.74159095533142e-07	up
STAB1	0.8933446875	7.36218287391715e-10	1.00088876170904e-06	up
CDH19	-0.772103437499999	7.9709400002874e-10	1.01140600683647e-06	down
IBSP	1.7949821875	9.16508509088889e-10	1.05716454009017e-06	up
OAS3	0.777076562499999	9.89680975306198e-10	1.05716454009017e-06	up
ZFYVE26	0.392267812499999	1.00358179804813e-09	1.05716454009017e-06	up
HMOX1	1.4195021875	1.05533159573968e-09	1.05716454009017e-06	up
DDX60L	0.925960312499998	1.43637193767636e-09	1.2171831159348e-06	up
IL17RA	0.484029374999999	1.4885281479174e-09	1.2171831159348e-06	up
TC2N	-0.916815625	1.55901575354863e-09	1.2171831159348e-06	down
OAS1	0.875333437499999	1.67986101833367e-09	1.2171831159348e-06	up
NEGR1	-1.1006171875	1.73234163796045e-09	1.2171831159348e-06	down
DCSTAMP	1.0058140625	1.73278005415695e-09	1.2171831159348e-06	up
UHRF1BP1	0.444372812499999	1.73304610361357e-09	1.2171831159348e-06	up
IL6R	0.713391874999999	1.74531421865052e-09	1.2171831159348e-06	up
WDFY4	0.736658124999998	1.79063349162898e-09	1.2171831159348e-06	up
PXYLP1	-0.597455937499999	1.92682508265074e-09	1.26459523441695e-06	down
TDO2	1.1507578125	2.08675371883894e-09	1.28880360210632e-06	up
NEK6	0.473581875	2.09913895157336e-09	1.28880360210632e-06	up
TAPBP	0.4308725	2.17791909908987e-09	1.29538544415555e-06	up
CASQ2	-1.6676640625	2.34907884828735e-09	1.31619147606261e-06	down
PGD	0.940741874999999	2.38912567638854e-09	1.31619147606261e-06	up
RASL12	-0.731473437499999	2.42035946315301e-09	1.31619147606261e-06	down
SH3BP2	0.524219375	2.50026017719743e-09	1.32187366534996e-06	up
LRRK1	0.3433184375	2.60829377271723e-09	1.341720415571e-06	up
TNFRSF11A	0.478705000000001	2.78299925249923e-09	1.34185209424241e-06	up
FILIP1L	-0.777019374999999	2.91849686435357e-09	1.34185209424241e-06	down
ZSWIM6	0.357034999999998	2.94851328288697e-09	1.34185209424241e-06	up
BAG2	-0.764283437499999	3.03611424158497e-09	1.34185209424241e-06	down
DIP2B	0.3256434375	3.06056433497453e-09	1.34185209424241e-06	up
FKBP15	0.559376875	3.09865525118899e-09	1.34185209424241e-06	up
DPP9	0.3640359375	3.1020591681115e-09	1.34185209424241e-06	up
CNN1	-1.1405709375	3.18511202571332e-09	1.34716082634226e-06	down
SP140	0.734812812499999	3.29823964027815e-09	1.36468250159596e-06	up
SLC25A19	0.501157812499999	3.56424946867380e-09	1.39131418106258e-06	up
THSD7A	0.641816562499999	3.71938144156118e-09	1.39131418106258e-06	up
CHSY3	-0.687930624999999	3.74428646733614e-09	1.39131418106258e-06	down
CNTN4	-1.792331875	3.77764607079995e-09	1.39131418106258e-06	down
ADAP2	0.836473125	3.81769098239791e-09	1.39131418106258e-06	up
TNFAIP2	0.629647812499999	3.86305285684225e-09	1.39131418106258e-06	up
PIK3CD	0.4033403125	3.87430523807685e-09	1.39131418106258e-06	up
SFMBT2	0.7382971875	4.0006184327494e-09	1.40231924922324e-06	up
DOPEY2	0.573699687499999	4.05230697773752e-09	1.40231924922324e-06	up
ADCY7	0.612495	4.15452415896291e-09	1.41201889852752e-06	up
PRKCD	0.504250625000001	4.38206489019407e-09	1.45862039016351e-06	up
DAB2	0.646815937499999	4.48399138478907e-09	1.45862039016351e-06	up
SAMD9L	0.5170178125	4.5215469458124e-09	1.45862039016351e-06	up
WDR37	0.243112187499999	4.68689186843858e-09	1.48676021553319e-06	up
DNMT1	0.376492812499999	4.78764475525754e-09	1.49126547358928e-06	up
TMEM106A	0.522357187500001	4.886689264781e-09	1.49126547358928e-06	up
OAS2	0.823419375	4.9361490482911e-09	1.49126547358928e-06	up
SLC6A6	0.735175624999999	5.04663249062647e-09	1.50082119053271e-06	up
CYTH4	0.876796249999999	5.21725538276468e-09	1.51558452957032e-06	up
PTPN18	0.414071562500001	5.25553401731946e-09	1.51558452957032e-06	up
CIDEB	0.3704953125	5.66519646393456e-09	1.60226451932448e-06	up
MOB3A	0.39027125	5.72447787075422e-09	1.60226451932448e-06	up
PDLIM3	-0.717493125	5.94580844513021e-09	1.64009524835019e-06	down
CAB39L	-0.928044375	6.16209339286207e-09	1.65720448180177e-06	down
CATSPERB	-0.963574062499998	6.18197437124604e-09	1.65720448180177e-06	down
RNPEP	0.417144374999999	6.6188413826182e-09	1.74328101839275e-06	up
ARRDC4	0.5437709375	6.72520608231056e-09	1.74328101839275e-06	up
DPP4	1.6108728125	6.77784875537558e-09	1.74328101839275e-06	up
GAB3	0.432228437499999	6.98034873561267e-09	1.75217163805987e-06	up
CFL2	-0.8234209375	7.04337195527491e-09	1.75217163805987e-06	down
ATP11A	0.6035709375	7.31938699880002e-09	1.75217163805987e-06	up
GIT2	0.292101562499999	7.32230584213638e-09	1.75217163805987e-06	up
