gene_symbol	route	accessibility_status	source
A1BG	unknown	UNKNOWN	local_default
A1BG-AS1	unknown	UNKNOWN	local_default
A1CF	unknown	UNKNOWN	local_default
A2M	unknown	UNKNOWN	local_default
A2M-AS1	unknown	UNKNOWN	local_default
A2ML1	unknown	UNKNOWN	local_default
A3GALT2	unknown	UNKNOWN	local_default
A4GALT	unknown	UNKNOWN	local_default
A4GNT	unknown	UNKNOWN	local_default
AAAS	unknown	UNKNOWN	local_default
AACS	unknown	UNKNOWN	local_default
AADAC	unknown	UNKNOWN	local_default
AADACL2	unknown	UNKNOWN	local_default
AADACL3	unknown	UNKNOWN	local_default
AADACL4	unknown	UNKNOWN	local_default
AADACP1	unknown	UNKNOWN	local_default
AADAT	unknown	UNKNOWN	local_default
AAED1	unknown	UNKNOWN	local_default
AAGAB	unknown	UNKNOWN	local_default
AAK1	unknown	UNKNOWN	local_default
AAMDC	unknown	UNKNOWN	local_default
AAMP	unknown	UNKNOWN	local_default
AANAT	unknown	UNKNOWN	local_default
AAR2	unknown	UNKNOWN	local_default
AARD	unknown	UNKNOWN	local_default
AARS	unknown	UNKNOWN	local_default
AARS1	unknown	UNKNOWN	local_default
AARS2	unknown	UNKNOWN	local_default
AARSD1	unknown	UNKNOWN	local_default
AASDH	unknown	UNKNOWN	local_default
AASDHPPT	unknown	UNKNOWN	local_default
AASS	unknown	UNKNOWN	local_default
AATBC	unknown	UNKNOWN	local_default
AATF	unknown	UNKNOWN	local_default
AATK	unknown	UNKNOWN	local_default
AATK-AS1	unknown	UNKNOWN	local_default
ABAT	unknown	UNKNOWN	local_default
ABCA1	unknown	UNKNOWN	local_default
ABCA10	unknown	UNKNOWN	local_default
ABCA11P	unknown	UNKNOWN	local_default
ABCA12	unknown	UNKNOWN	local_default
ABCA13	unknown	UNKNOWN	local_default
ABCA15P	unknown	UNKNOWN	local_default
ABCA2	unknown	UNKNOWN	local_default
ABCA3	unknown	UNKNOWN	local_default
ABCA4	unknown	UNKNOWN	local_default
ABCA5	unknown	UNKNOWN	local_default
ABCA6	unknown	UNKNOWN	local_default
ABCA7	unknown	UNKNOWN	local_default
ABCA8	unknown	UNKNOWN	local_default
ABCA9	unknown	UNKNOWN	local_default
ABCA9-AS1	unknown	UNKNOWN	local_default
ABCB1	unknown	UNKNOWN	local_default
ABCB10	unknown	UNKNOWN	local_default
ABCB11	unknown	UNKNOWN	local_default
ABCB4	unknown	UNKNOWN	local_default
ABCB5	unknown	UNKNOWN	local_default
ABCB6	unknown	UNKNOWN	local_default
ABCB7	unknown	UNKNOWN	local_default
ABCB8	unknown	UNKNOWN	local_default
ABCB9	unknown	UNKNOWN	local_default
ABCC1	unknown	UNKNOWN	local_default
ABCC10	unknown	UNKNOWN	local_default
ABCC11	unknown	UNKNOWN	local_default
ABCC12	unknown	UNKNOWN	local_default
ABCC2	unknown	UNKNOWN	local_default
ABCC3	unknown	UNKNOWN	local_default
ABCC4	unknown	UNKNOWN	local_default
ABCC5	unknown	UNKNOWN	local_default
ABCC6	unknown	UNKNOWN	local_default
ABCC6P1	unknown	UNKNOWN	local_default
ABCC8	unknown	UNKNOWN	local_default
ABCC9	unknown	UNKNOWN	local_default
ABCD1	unknown	UNKNOWN	local_default
ABCD2	unknown	UNKNOWN	local_default
ABCD3	unknown	UNKNOWN	local_default
ABCD4	unknown	UNKNOWN	local_default
ABCE1	unknown	UNKNOWN	local_default
ABCF1	unknown	UNKNOWN	local_default
ABCF2	unknown	UNKNOWN	local_default
ABCF2P1	unknown	UNKNOWN	local_default
ABCF3	unknown	UNKNOWN	local_default
ABCG1	unknown	UNKNOWN	local_default
ABCG2	unknown	UNKNOWN	local_default
ABCG4	unknown	UNKNOWN	local_default
ABCG5	unknown	UNKNOWN	local_default
ABCG8	unknown	UNKNOWN	local_default
ABHD1	unknown	UNKNOWN	local_default
ABHD10	unknown	UNKNOWN	local_default
ABHD11	unknown	UNKNOWN	local_default
ABHD12	unknown	UNKNOWN	local_default
ABHD12B	unknown	UNKNOWN	local_default
ABHD13	unknown	UNKNOWN	local_default
ABHD14A	unknown	UNKNOWN	local_default
ABHD14B	unknown	UNKNOWN	local_default
ABHD15	unknown	UNKNOWN	local_default
ABHD16A	unknown	UNKNOWN	local_default
ABHD16B	unknown	UNKNOWN	local_default
ABHD17A	unknown	UNKNOWN	local_default
ABHD17B	unknown	UNKNOWN	local_default
ABHD17C	unknown	UNKNOWN	local_default
ABHD18	unknown	UNKNOWN	local_default
ABHD2	unknown	UNKNOWN	local_default
ABHD3	unknown	UNKNOWN	local_default
ABHD4	unknown	UNKNOWN	local_default
ABHD5	unknown	UNKNOWN	local_default
ABHD6	unknown	UNKNOWN	local_default
ABHD8	unknown	UNKNOWN	local_default
ABI1	unknown	UNKNOWN	local_default
ABI2	unknown	UNKNOWN	local_default
ABI3	unknown	UNKNOWN	local_default
ABI3BP	unknown	UNKNOWN	local_default
ABITRAM	unknown	UNKNOWN	local_default
ABL1	unknown	UNKNOWN	local_default
ABL2	unknown	UNKNOWN	local_default
ABLIM1	unknown	UNKNOWN	local_default
ABLIM2	unknown	UNKNOWN	local_default
ABLIM3	unknown	UNKNOWN	local_default
ABO	unknown	UNKNOWN	local_default
ABR	unknown	UNKNOWN	local_default
ABRA	unknown	UNKNOWN	local_default
ABRACL	unknown	UNKNOWN	local_default
ABRAXAS1	unknown	UNKNOWN	local_default
ABRAXAS1P1	unknown	UNKNOWN	local_default
ABRAXAS2	unknown	UNKNOWN	local_default
ABT1	unknown	UNKNOWN	local_default
ABTB1	unknown	UNKNOWN	local_default
ABTB2	unknown	UNKNOWN	local_default
ABTB3	unknown	UNKNOWN	local_default
ACAA1	unknown	UNKNOWN	local_default
ACAA2	unknown	UNKNOWN	local_default
ACACA	unknown	UNKNOWN	local_default
ACACB	unknown	UNKNOWN	local_default
ACAD10	unknown	UNKNOWN	local_default
ACAD11	unknown	UNKNOWN	local_default
ACAD8	unknown	UNKNOWN	local_default
ACAD9	unknown	UNKNOWN	local_default
ACAD9-DT	unknown	UNKNOWN	local_default
ACADL	unknown	UNKNOWN	local_default
ACADM	unknown	UNKNOWN	local_default
ACADS	unknown	UNKNOWN	local_default
ACADSB	unknown	UNKNOWN	local_default
ACADVL	unknown	UNKNOWN	local_default
ACAN	unknown	UNKNOWN	local_default
ACAP1	unknown	UNKNOWN	local_default
ACAP2	unknown	UNKNOWN	local_default
ACAP3	unknown	UNKNOWN	local_default
ACAT1	unknown	UNKNOWN	local_default
ACAT2	unknown	UNKNOWN	local_default
ACBD3	unknown	UNKNOWN	local_default
ACBD4	unknown	UNKNOWN	local_default
ACBD5	unknown	UNKNOWN	local_default
ACBD6	unknown	UNKNOWN	local_default
ACBD7	unknown	UNKNOWN	local_default
ACCS	unknown	UNKNOWN	local_default
ACCSL	unknown	UNKNOWN	local_default
ACD	unknown	UNKNOWN	local_default
ACE	unknown	UNKNOWN	local_default
ACE2	unknown	UNKNOWN	local_default
ACER1	unknown	UNKNOWN	local_default
ACER2	unknown	UNKNOWN	local_default
ACER3	unknown	UNKNOWN	local_default
ACHE	unknown	UNKNOWN	local_default
ACIN1	unknown	UNKNOWN	local_default
ACKR1	unknown	UNKNOWN	local_default
ACKR2	unknown	UNKNOWN	local_default
ACKR3	unknown	UNKNOWN	local_default
ACKR4	unknown	UNKNOWN	local_default
ACLY	unknown	UNKNOWN	local_default
ACMSD	unknown	UNKNOWN	local_default
ACO1	unknown	UNKNOWN	local_default
ACO2	unknown	UNKNOWN	local_default
ACOD1	unknown	UNKNOWN	local_default
ACOT1	unknown	UNKNOWN	local_default
ACOT11	unknown	UNKNOWN	local_default
ACOT12	unknown	UNKNOWN	local_default
ACOT13	unknown	UNKNOWN	local_default
ACOT2	unknown	UNKNOWN	local_default
ACOT4	unknown	UNKNOWN	local_default
ACOT6	unknown	UNKNOWN	local_default
ACOT7	unknown	UNKNOWN	local_default
ACOT8	unknown	UNKNOWN	local_default
ACOT9	unknown	UNKNOWN	local_default
ACOX1	unknown	UNKNOWN	local_default
ACOX2	unknown	UNKNOWN	local_default
ACOX3	unknown	UNKNOWN	local_default
ACOXL	unknown	UNKNOWN	local_default
ACP1	unknown	UNKNOWN	local_default
ACP2	unknown	UNKNOWN	local_default
ACP5	unknown	UNKNOWN	local_default
ACP6	unknown	UNKNOWN	local_default
ACP7	unknown	UNKNOWN	local_default
ACPP	unknown	UNKNOWN	local_default
ACPT	unknown	UNKNOWN	local_default
ACR	unknown	UNKNOWN	local_default
ACRBP	unknown	UNKNOWN	local_default
ACRC	unknown	UNKNOWN	local_default
ACRV1	unknown	UNKNOWN	local_default
ACSBG1	unknown	UNKNOWN	local_default
ACSBG2	unknown	UNKNOWN	local_default
ACSF2	unknown	UNKNOWN	local_default
ACSF3	unknown	UNKNOWN	local_default
ACSL1	unknown	UNKNOWN	local_default
ACSL3	unknown	UNKNOWN	local_default
ACSL4	unknown	UNKNOWN	local_default
ACSL5	unknown	UNKNOWN	local_default
ACSL6	unknown	UNKNOWN	local_default
ACSM1	unknown	UNKNOWN	local_default
ACSM2A	unknown	UNKNOWN	local_default
ACSM2B	unknown	UNKNOWN	local_default
ACSM3	unknown	UNKNOWN	local_default
ACSM5	unknown	UNKNOWN	local_default
ACSM6	unknown	UNKNOWN	local_default
ACSS1	unknown	UNKNOWN	local_default
ACSS2	unknown	UNKNOWN	local_default
ACSS3	unknown	UNKNOWN	local_default
ACTA1	unknown	UNKNOWN	local_default
ACTA2	unknown	UNKNOWN	local_default
ACTA2-AS1	unknown	UNKNOWN	local_default
ACTB	unknown	UNKNOWN	local_fixture
ACTBL2	unknown	UNKNOWN	local_default
ACTBP14	unknown	UNKNOWN	local_default
ACTC1	unknown	UNKNOWN	local_default
ACTG1	unknown	UNKNOWN	local_default
ACTG1P14	unknown	UNKNOWN	local_default
ACTG1P16	unknown	UNKNOWN	local_default
ACTG1P17	unknown	UNKNOWN	local_default
ACTG1P23	unknown	UNKNOWN	local_default
ACTG1P24	unknown	UNKNOWN	local_default
ACTG2	unknown	UNKNOWN	local_default
ACTL10	unknown	UNKNOWN	local_default
ACTL11P	unknown	UNKNOWN	local_default
ACTL6A	unknown	UNKNOWN	local_default
ACTL6B	unknown	UNKNOWN	local_default
ACTL7A	unknown	UNKNOWN	local_default
ACTL7B	unknown	UNKNOWN	local_default
ACTL8	unknown	UNKNOWN	local_default
ACTL9	unknown	UNKNOWN	local_default
ACTMAP	unknown	UNKNOWN	local_default
ACTN1	unknown	UNKNOWN	local_default
ACTN2	unknown	UNKNOWN	local_default
ACTN3	unknown	UNKNOWN	local_default
ACTN4	unknown	UNKNOWN	local_default
ACTN4P1	unknown	UNKNOWN	local_default
ACTR10	unknown	UNKNOWN	local_default
ACTR1A	unknown	UNKNOWN	local_default
ACTR1AP1	unknown	UNKNOWN	local_default
ACTR1B	unknown	UNKNOWN	local_default
ACTR2	unknown	UNKNOWN	local_default
